,OPEID6L,INSTNM,CITY,STABBR,ZIP,MENONLY,WOMENONLY,ADM_RATE_ALL,SAT_AVG_ALL,HIGHDEG,HBCU,PBI,HSI,NANTI,CCUGPROF,CCSIZSET,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,COSTT4_A,AVGFACSAL,C150_4,C150_4_WHITE,C150_4_BLACK,C150_4_HISP,C150_4_ASIAN,FEMALE,MN_EARN_WNE_P10,MN_EARN_WNE_MALE0_P10,MN_EARN_WNE_MALE1_P10,GT_THRESHOLD_P10,CONTROL,Number of Unique Majors Offered (Bachelors,Co-Ed
0,1002.0,Alabama A & M University,Normal,AL,35762,0.0,0.0,0.8965,959.0,4,1.0,0.0,0.0,0.0,10.0,14.0,0.0159,0.9022,0.0116,0.0012,23445.0,7599.0,0.2866,0.3182,0.2815,0.5,1.0,0.5640301318,35500,32600,38500,0.6044,"Private, nonprofit",4.0,True
1,1052.0,University of Alabama at Birmingham,Birmingham,AL,35294-0110,0.0,0.0,0.806,1245.0,4,0.0,0.0,0.0,0.0,9.0,15.0,0.5496,0.2401,0.061,0.0704,25542.0,11380.0,0.6117,0.6056,0.5924,0.7143,0.7405,0.6390907397,48400,43200,57400,0.7472,Public,74.0,True
2,25034.0,Amridge University,Montgomery,AL,36117-3553,0.0,0.0,,,4,0.0,0.0,0.0,0.0,5.0,6.0,0.255,0.6913,0.0268,0.0034,20100.0,4545.0,0.25,0.5,0.0,,,0.6486486486,47600,38700,56000,0.6286,,,True
3,1055.0,University of Alabama in Huntsville,Huntsville,AL,35899,0.0,0.0,0.7711,1300.0,4,0.0,0.0,0.0,0.0,15.0,12.0,0.7173,0.0907,0.0599,0.0354,24861.0,9697.0,0.5714,0.5838,0.4783,0.5313,0.44,0.4763499372,52000,46000,58700,0.7769,"Private, nonprofit",48.0,True
4,1005.0,Alabama State University,Montgomery,AL,36104-0271,0.0,0.0,0.9888,938.0,4,1.0,0.0,0.0,0.0,10.0,14.0,0.0167,0.9265,0.013,0.0019,21892.0,7194.0,0.3177,0.3333,0.3219,0.2857,0.0,0.6134185304,30600,28300,33000,0.5178,"Private, nonprofit",46.0,True
5,1051.0,The University of Alabama,Tuscaloosa,AL,35487-0100,0.0,0.0,0.8039,1262.0,4,0.0,0.0,0.0,0.0,14.0,16.0,0.7695,0.1024,0.0512,0.0131,30016.0,10349.0,0.7214,0.7396,0.6158,0.6667,0.7231,0.6152524168,51600,45100,59100,0.7895,"Private, nonprofit",63.0,True
6,1007.0,Central Alabama Community College,Alexander City,AL,35010,0.0,0.0,,,2,0.0,0.0,0.0,0.0,2.0,2.0,0.7284,0.1932,0.0141,0.006,9437.0,6581.0,,,,,,0.6037383178,32400,28600,41500,0.521,"Private, nonprofit",42.0,True
7,1008.0,Athens State University,Athens,AL,35611,0.0,0.0,,,4,0.0,0.0,0.0,0.0,5.0,9.0,0.7596,0.1305,0.0369,0.0065,,8683.0,,,,,,0.705078125,42400,38000,54100,0.714,"Private, nonprofit",61.0,True
8,8310.0,Auburn University at Montgomery,Montgomery,AL,36117-3596,0.0,0.0,0.9555,1061.0,4,0.0,1.0,0.0,0.0,9.0,13.0,0.4213,0.4473,0.0114,0.0242,20225.0,7729.0,0.304,0.3425,0.2389,1.0,0.4,0.6929480901,38000,34500,44900,0.6687,,,True
9,1009.0,Auburn University,Auburn,AL,36849,0.0,0.0,0.8507,1302.0,4,0.0,0.0,0.0,0.0,14.0,15.0,0.8101,0.0465,0.0355,0.0238,32196.0,10722.0,0.787,0.7999,0.6933,0.697,0.7823,0.531504671,56300,48000,63800,0.8227,"Private, nonprofit",59.0,True
10,1012.0,Birmingham-Southern College,Birmingham,AL,35254,0.0,0.0,0.6045,1202.0,3,0.0,0.0,0.0,0.0,14.0,11.0,0.7653,0.1435,0.0452,0.0204,32514.0,6961.0,0.7094,0.7132,0.525,1.0,0.8621,0.520361991,53100,47600,61100,0.7464,"Private, nonprofit",27.0,True
11,12182.0,Chattahoochee Valley Community College,Phenix City,AL,36869,0.0,0.0,,,2,0.0,1.0,0.0,0.0,2.0,2.0,0.4049,0.4057,0.0617,0.0101,10275.0,6432.0,,,,,,0.611965812,31300,28600,36700,0.5032,,,True
12,13039.0,South University-Montgomery,Montgomery,AL,36116,0.0,0.0,,,4,0.0,0.0,0.0,0.0,7.0,6.0,0.3114,0.6505,0.0173,0.0,28761.0,4930.0,0.1429,0.0,0.1765,,,0.7628668652,40200,38300,46700,0.5827,,,True
13,1015.0,Enterprise State Community College,Enterprise,AL,36330-1300,0.0,0.0,,,2,0.0,0.0,0.0,0.0,2.0,2.0,0.5966,0.2124,0.0713,0.0054,9561.0,6662.0,,,,,,0.5165876777,42700,30000,53700,0.5885,"Private, nonprofit",42.0,True
14,1060.0,Coastal Alabama Community College,Bay Minette,AL,36507-2698,0.0,0.0,,,2,0.0,0.0,0.0,0.0,2.0,4.0,0.6506,0.2118,0.0361,0.0118,14915.0,7023.0,,,,,,0.6531791908,33900,27600,44200,0.5204,Public,83.0,True
15,1003.0,Faulkner University,Montgomery,AL,36109-3390,0.0,0.0,0.7576,1068.0,4,0.0,1.0,0.0,0.0,7.0,10.0,0.4564,0.4215,0.03,0.0076,34835.0,5926.0,0.2711,0.3239,0.2114,0.2143,0.0,0.6387315968,40700,34400,54100,0.6381,"Private, nonprofit",56.0,True
16,1017.0,Gadsden State Community College,Gadsden,AL,35903,0.0,0.0,,,2,1.0,0.0,0.0,0.0,2.0,3.0,0.6957,0.1808,0.0549,0.0037,10527.0,6720.0,,,,,,0.6180606958,30200,27000,36800,0.4642,"Private, nonprofit",32.0,True
17,41872.0,New Beginning College of Cosmetology,Albertville,AL,35951,0.0,0.0,,,1,0.0,0.0,0.0,0.0,-2.0,-2.0,0.8953,0.0116,0.093,0.0,,,,,,,,PrivacySuppressed,,,,,,,True
18,1018.0,George C Wallace Community College-Dothan,Dothan,AL,36303-9234,0.0,0.0,,,2,0.0,0.0,0.0,0.0,2.0,3.0,0.5831,0.2959,0.0458,0.01,9990.0,6455.0,,,,,,0.667740451,29800,26800,37300,0.4705,"Private, nonprofit",37.0,True
19,7871.0,George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,0.0,0.0,,,2,0.0,0.0,0.0,0.0,2.0,3.0,0.8012,0.0674,0.0712,0.0145,12537.0,7772.0,,,,,,0.6312210201,34800,31400,41400,0.5763,,,True
20,5699.0,George C Wallace State Community College-Selma,Selma,AL,36702-2808,0.0,0.0,,,2,0.0,1.0,0.0,0.0,2.0,2.0,0.1845,0.7729,0.0076,0.0022,11154.0,6294.0,,,,,,0.5991341991,27300,24800,32500,0.4388,,,True
